Title ID,Title,Genre,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,IMDb Votes,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date,,,,
86,Blood Orange,Thriller,English,Movie,5.9,South Korea,1-2 hour,Toby Tobias,"Ben Lamb, Iggy Pop, Kacey Clarke, Antonio Magro",4.3,7,742,,,,2/28/2021,,,,
87,The Big Shot,Crime,English,Movie,8,South Korea,1-2 hour,Lewis Seiler,"Susan Peters, Humphrey Bogart, Richard Travis, Irene Manning",6.7,,782,,,,2/28/2021,,,,
88,Kuromukuro,Action,Japanese,Series,8,"Argentina,Iceland,Portugal,Slovakia,Hungary,Lithuania,Czech Republic,United Kingdom,Canada,Australia,Romania,Russia,Greece,Poland,South Africa,Singapore,United States,Germany,France,Spain,Switzerland,Belgium,South Korea,Hong Kong,Japan,Thailand,Sweden,Mexico,Turkey,India,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,"Kira Buckland, Johnny Yong Bosch, Reba Buhr, Bob Buchholz",7.2,,1110,,,,4/11/2016,,,,
89,After My Death,Drama,Korean,Movie,8,South Korea,1-2 hour,Kim Uiseok,"Taekyung Lee, Yeo-bin Jeon, Young-hwa Seo, Won-Hee Go",6.3,,224,8,8,,2/28/2021,,,,
90,Magi: The Labyrinth of Magic,Action,Japanese,Series,7.4,"Argentina,Japan,United States,Canada,Brazil,Mexico,Colombia",< 30 minutes,,"Kaori Ishihara, Haruka Tomatsu, Yûki Kaji, Erik Scott Kimerer",7.8,,3085,,2,,4/14/2015,,,,
91,The Accidental Detective 2: In Action,Crime,Korean,Movie,8.2,South Korea,1-2 hour,Eon-hie Lee,"Yeong-hie Seo, Sang-Woo Kwon, Dong-il Sung, Sung-je Cha",6.5,73,513,,,"$179,045 ",2/28/2021,,,,
92,12 Feet Deep,Horror,English,Movie,2.8,South Korea,1-2 hour,Matt Eskandari,"Diane Farr, Christian Kain Blackburn, Nora-Jane Noone, Alexandra Park",5.5,,11977,,,,2/28/2021,,,,
93,1987: When the Day Comes,Drama,Korean,Movie,7.1,South Korea,> 2 hrs,Joon-Hwan Jang,"Hae-Jin Yoo, Jung-woo Ha, Kim Yoon-seok, Kim Tae-ri",7.8,82,3819,25,38,,2/28/2021,,,,
94,The Student Cop,Action,Arabic,Movie,7.2,"Argentina,Lithuania,South Africa,Russia,United Kingdom,Slovakia,India,Czech Republic,Portugal,Australia,Canada,Hungary,Switzerland,Japan,Mexico,Belgium,Germany,Sweden,Iceland,Greece,Hong Kong,Singapore,Thailand,Spain,France,United States,Poland,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Romania",1-2 hour,Wael Ihsan,"Karim Abdel Aziz, Ghadah Adel, Hasan Husni, Maha Ahmed",6.2,,1759,,,,5/17/2020,,,,
95,Operation Buffalo,Adventure,"English, Aboriginal",Series,7.9,"Thailand,Singapore,Australia,Malaysia,India,Hong Kong,Japan",< 30 minutes,,"Tony Martin, Jessica De Gouw, James Cromwell, Ewen Leslie",6.3,,401,1,11,,2/28/2021,,,,
96,Bigfoot Family,Animation,,Movie,7.6,"Australia,United Kingdom,United States,Canada",1-2 hour,"Ben Stassen, Jeremy Degruson","Kylian Trouillard, Marie Chevalot, Frederic Souterelle, Alexis Victor",6,,749,,1,,2/27/2021,,,,
